country,total_prefix_count,ipv4_prefix_count,ipv6_prefix_count,ipv4_prefix_length_mean,ipv6_prefix_length_mean,path_length_mean,origin_as_count,transit_as_count,upstream_as_count,unregistered_as_count,offshore_as_count,ixp_count
AN,,,,,,,0,0,0,0,0,0
AR,12565.0,11142.0,1423.0,23.31,44.15,6.05,994,141,64,5,87,29
AW,119.0,118.0,1.0,22.95,32.0,4.71,2,0,4,0,1,0
BO,1058.0,984.0,74.0,23.02,41.84,5.15,45,8,18,0,1,2
BQ,49.0,46.0,3.0,22.89,38.67,5.18,5,1,5,0,2,0
BR,83334.0,62809.0,20525.0,22.87,37.45,5.55,8565,2064,169,27,66,32
BZ,454.0,375.0,79.0,23.52,41.72,5.06,25,4,30,0,71,1
CL,5634.0,4459.0,1175.0,22.94,45.53,5.43,292,41,54,0,31,7
CO,9872.0,8858.0,1014.0,22.82,43.53,5.6,236,28,74,2,41,2
CR,4193.0,4037.0,156.0,23.24,47.34,5.84,78,18,29,0,13,2
CU,57.0,54.0,3.0,20.76,32.0,5.55,3,1,5,0,0,1
CW,263.0,233.0,30.0,23.0,36.27,4.59,17,5,8,0,11,1
DO,931.0,801.0,130.0,22.97,39.36,5.69,79,20,23,1,2,2
EC,4459.0,2981.0,1478.0,23.29,46.31,5.34,158,22,24,0,10,5
FK,,10.0,,23.0,,,2,0,1,0,1,0
GF,21.0,19.0,2.0,23.16,34.0,4.93,3,0,2,0,3,0
GS,,,,,,,0,0,0,0,0,0
GT,1141.0,801.0,340.0,23.63,44.12,5.3,50,15,21,0,9,1
GY,119.0,88.0,31.0,22.7,40.81,5.4,5,2,4,0,1,0
HN,857.0,764.0,93.0,23.38,39.23,5.49,77,13,13,0,11,1
HT,115.0,113.0,2.0,23.07,40.0,4.75,7,3,6,0,1,1
MX,29656.0,22659.0,6997.0,22.67,47.46,4.43,363,61,39,2,53,2
NI,465.0,386.0,79.0,23.55,40.58,5.5,22,6,10,0,4,0
PA,1673.0,1502.0,171.0,22.8,44.8,5.23,84,16,37,0,37,1
PE,3070.0,2664.0,406.0,23.03,45.15,4.73,91,17,33,1,20,2
PY,879.0,714.0,165.0,22.93,45.28,6.02,81,16,23,0,3,2
SR,451.0,424.0,27.0,23.27,46.59,4.21,5,1,4,0,0,1
SV,1112.0,1075.0,37.0,23.73,41.84,5.4,37,9,12,0,12,0
SX,61.0,56.0,5.0,23.27,36.0,4.7,3,1,8,0,1,0
TT,480.0,416.0,64.0,22.31,34.84,4.96,14,4,9,1,1,2
UY,877.0,822.0,55.0,20.83,39.65,4.09,17,8,45,0,7,0
VE,2077.0,1998.0,79.0,22.61,34.66,5.28,114,23,34,0,9,0
