ASN,Location (country),TOTAL bias (selected),rank,metric,asn,af,nbsamples,asn_name,cc
28345,BR,-1.37,,,,,,,
26162,BR,-1.35,,,,,,,
61524,CL,-1.27,,,,,,,
263290,BR,-1.2300000000000002,,,,,,,
271579,BR,-1.2200000000000002,,,,,,,
271723,BR,-1.2200000000000002,,,,,,,
271768,BR,-1.2200000000000002,,,,,,,
272501,BR,-1.2200000000000002,,,,,,,
272597,BR,-1.2200000000000002,,,,,,,
272618,BR,-1.2200000000000002,,,,,,,
52992,BR,-1.2,,,,,,,
271619,BR,-1.1700000000000002,,,,,,,
270531,BR,-1.1700000000000002,,,,,,,
272462,BR,-1.16,,,,,,,
28247,BR,-1.16,,,,,,,
267054,BR,-1.09,,,,,,,
271417,BR,-1.09,,,,,,,
267322,BR,-1.08,,,,,,,
269346,BR,-1.07,,,,,,,
27785,SV,-1.06,,,,,,,
270622,BR,-1.05,,,,,,,
263122,BR,-1.04,,,,,,,
263889,BR,-1.04,,,,,,,
265236,BR,-1.04,,,,,,,
267255,BR,-1.04,,,,,,,
267266,BR,-1.04,,,,,,,
267630,BR,-1.04,,,,,,,
271155,BR,-1.04,,,,,,,
262897,BR,-1.04,,,,,,,
262997,BR,-1.04,,,,,,,
270420,BR,-1.04,,,,,,,
271682,BR,-1.04,,,,,,,
265074,BR,-1.03,,,,,,,
10391,PA,-1.03,,,,,,,
264313,BR,-1.02,,,,,,,
265200,BR,-1.02,,,,,,,
266633,BR,-1.02,,,,,,,
268749,BR,-1.02,,,,,,,
61741,BR,-1.02,,,,,,,
265109,BR,-1.01,,,,,,,
266068,BR,-1.01,,,,,,,
267525,BR,-1.01,,,,,,,
268433,BR,-1.01,,,,,,,
267159,BR,-1.0,,,,,,,
269268,BR,-1.0,,,,,,,
263964,BR,-1.0,,,,,,,
270950,BR,-0.99,,,,,,,
269007,BR,-0.99,,,,,,,
269069,BR,-0.99,,,,,,,
271357,BR,-0.99,,,,,,,
272568,BR,-0.99,,,,,,,
266066,BR,-0.99,,,,,,,
268938,BR,-0.99,,,,,,,
52269,CO,-0.99,,,,,,,
61594,BR,-0.99,,,,,,,
264083,BR,-0.98,,,,,,,
264375,BR,-0.98,,,,,,,
268237,BR,-0.98,,,,,,,
268256,BR,-0.98,,,,,,,
271337,BR,-0.97,,,,,,,
61735,BR,-0.97,,,,,,,
264893,BR,-0.97,,,,,,,
267101,BR,-0.97,,,,,,,
271541,BR,-0.97,,,,,,,
61749,BR,-0.97,,,,,,,
270398,BR,-0.96,,,,,,,
270685,BR,-0.96,,,,,,,
268961,BR,-0.96,,,,,,,
267114,BR,-0.96,,,,,,,
270365,BR,-0.96,,,,,,,
270268,BR,-0.9500000000000002,,,,,,,
263408,BR,-0.95,,,,,,,
264533,BR,-0.95,,,,,,,
264894,BR,-0.95,,,,,,,
264975,BR,-0.95,,,,,,,
265257,BR,-0.95,,,,,,,
265486,BR,-0.95,,,,,,,
266204,BR,-0.95,,,,,,,
266229,BR,-0.95,,,,,,,
266479,BR,-0.95,,,,,,,
266572,BR,-0.95,,,,,,,
266597,BR,-0.95,,,,,,,
267052,BR,-0.95,,,,,,,
267068,BR,-0.95,,,,,,,
267090,BR,-0.95,,,,,,,
267306,BR,-0.95,,,,,,,
267309,BR,-0.95,,,,,,,
267518,BR,-0.95,,,,,,,
267537,BR,-0.95,,,,,,,
267631,BR,-0.95,,,,,,,
267963,BR,-0.95,,,,,,,
268031,BR,-0.95,,,,,,,
268033,BR,-0.95,,,,,,,
268095,BR,-0.95,,,,,,,
268130,BR,-0.95,,,,,,,
268135,BR,-0.95,,,,,,,
269340,BR,-0.95,,,,,,,
269505,BR,-0.95,,,,,,,
269713,BR,-0.95,,,,,,,
270496,BR,-0.95,,,,,,,
270555,BR,-0.95,,,,,,,
270569,BR,-0.95,,,,,,,
270713,BR,-0.95,,,,,,,
270840,BR,-0.95,,,,,,,
270937,BR,-0.95,,,,,,,
271128,BR,-0.95,,,,,,,
271575,BR,-0.95,,,,,,,
11644,BR,-0.95,,,,,,,
264867,BR,-0.95,,,,,,,
264917,BR,-0.95,,,,,,,
28175,BR,-0.95,,,,,,,
266415,BR,-0.95,,,,,,,
266594,BR,-0.95,,,,,,,
267040,BR,-0.95,,,,,,,
267369,BR,-0.95,,,,,,,
267564,BR,-0.95,,,,,,,
269010,BR,-0.95,,,,,,,
269055,BR,-0.95,,,,,,,
269186,BR,-0.95,,,,,,,
269663,BR,-0.95,,,,,,,
269677,BR,-0.95,,,,,,,
270415,BR,-0.95,,,,,,,
270453,BR,-0.95,,,,,,,
270875,BR,-0.95,,,,,,,
270886,BR,-0.95,,,,,,,
52577,BR,-0.95,,,,,,,
52633,BR,-0.95,,,,,,,
270995,BR,-0.95,,,,,,,
52882,BR,-0.95,,,,,,,
52910,BR,-0.95,,,,,,,
53011,BR,-0.95,,,,,,,
271061,BR,-0.95,,,,,,,
271132,BR,-0.95,,,,,,,
271189,BR,-0.95,,,,,,,
61677,BR,-0.95,,,,,,,
61771,BR,-0.95,,,,,,,
61831,BR,-0.95,,,,,,,
61853,BR,-0.95,,,,,,,
265007,BR,-0.95,,,,,,,
267331,BR,-0.95,,,,,,,
268353,BR,-0.95,,,,,,,
268196,BR,-0.95,,,,,,,
264229,BR,-0.94,,,,,,,
267335,BR,-0.94,,,,,,,
271388,BR,-0.94,,,,,,,
