ASN,Holder,Country,UN Regions,UN Sub-Regions,RIR Regions,Filtering,Anti-spoofing,Coordination,Global Validation IRR,Global Validation RPKI
278,Universidad Nacional Autonoma de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.99,0.67
676,United Nations Development Programme,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
1251,FUNDACAO DE AMPARO A PESQUISA DO ESTADO SAO PAULO,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.99,0.0
1797,Uruguay,UY,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
1831,ITESO,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
1840,Universidad de Las Americas-Puebla,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
1916,Rede Nacional de Ensino e Pesquisa,BR,Americas,Latin America and the Caribbean,LACNIC,0.94,,1,0.99,0.91
2549,Universidad de Guadalajara,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
2708,Universidad de Guanajuato,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.98
2715,Fundacao Carlos Chagas Filho de Amparo a Pesquisa,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
2716,Universidade Federal do Rio Grande do Sul,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
2904,Universidad Autonoma De Ciudad Juarez,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
3132,Red Cientifica Peruana,PE,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.97,0.0
3141,Benemerita Universidad Autonoma de Puebla,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
3449,Universidad Nacional de Buenos Aires,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
3454,Universidad Autonoma de Nuevo Leon,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
3484,Instituto Politecnico Nacional,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.94,0.0
3496,Maraven,VE,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
3548,Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
3551,Universidad Tecnologica de Panama,PA,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.83,1.0
3596,Universidad Autonoma Metropolitana,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
3597,Fundacion InnovaT,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
3603,University de Los Andes,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
3640,C I C E S E,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.75,1.0
3790,RADIOGRAFICA COSTARRICENSE,CR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.8,0.9
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.98,0.97
3905,CONSORCIO REDUNO S.A. de C.V,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.23,0.15
3968,El Colegio de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
4230,CLARO S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,0.86,,1,1.0,0.73
4270,Red de Interconexion Universitaria,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
4387,Secretaria de Ciencia y Tecnologia - Red Cientific,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
4493,Universidad de Sonora,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
4926,Telefonica de Argentina,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
4995,Netup S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
5639,Telecommunication Services of Trinidad and Tobago,TT,Americas,Latin America and the Caribbean,LACNIC,0.93,,1,1.0,0.0
5648,Satlink S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
5692,Universidad Nacional de La Plata,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.5,1.0
5708,Universidad Autonoma de Guerrero,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
5722,Universidad Nacional de Colombia,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.84
5772,Unisys Brasil Ltda.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
6057,Administracion Nacional de Telecomunicaciones,UY,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
6121,Ministerio de Justicia de la Nacion Argentina,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
6133,Red Nacional de Guatemala,GT,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
6147,Telefonica del Peru S.A.A.,PE,Americas,Latin America and the Caribbean,LACNIC,0.86,,1,1.0,0.99
6193,Corporacion La Prensa S.A.,PA,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
6306,TELEFONICA VENEZOLANA,VE,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
6332,Telefonos del Noroeste,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.27,0.09
6342,Instituto Tecnologico y de Estudios Superiores de Monterrey,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.85,0.0
6400,Compania Dominicana de Telefonos S. A.,DO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
6429,Telmex Chile Internet S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.6,0.7
6471,ENTEL CHILE S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.97,0.0
6495,HSBC Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
6503,Axtel,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
6505,EQUANT BRASIL LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.6
6535,Telmex Servicios Empresariales S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.79,0.94
6568,Entel S.A. - EntelNet,BO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.86,0.87
6927,Ternium Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
7004,CTC Transmisiones Regionales S.A.,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.17,0.07
7005,InterServer SA,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.44,0.0
7038,Instituto Tecnologico y de Estudios Superiores de Monterrey,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
7048,Linha Livre Internet Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
7049,Silica Networks Argentina S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.91,0.74
7063,LESTE FLU SERVICOS DE TELECOM LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
7080,Electronica y Comunicaciones,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
7087,Administracion de Redes Colomsat S.A.,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
