ASN,Location bias,Network size bias,Topology bias,IXP related bias,Network type bias,RIR region,Customer cone (#ASNs),Customer cone (#prefixes),Location (country),#neighbors (total),Scope (PeeringDB),Network type (PeeringDB),Peering policy (PeeringDB),#IXPs (PeeringDB),#facilities (PeeringDB),is_in_peeringDB,is_ris_peer_v4,is_ris_peer_v6,is_routeviews_peer,TOTAL bias (selected)
28345,-0.46,-0.62,-0.01,-0.06,-0.28,LACNIC,1,0,BR,3,Not Disclosed,Not Disclosed,Open,10,0,1,,,,-1.37
26162,-0.46,-0.62,-0.07,-0.06,-0.2,LACNIC,1,0,BR,2,South America,Route Server,Open,35,0,1,,,1,-1.35
61524,-0.24,-0.62,-0.07,-0.12,-0.34,LACNIC,1,0,CL,0,South America,Route Server,Open,2,0,1,,,,-1.27
263290,-0.46,-0.63,-0.07,0.1,-0.07,LACNIC,1,0,BR,0,Regional,Cable/DSL/ISP,Selective,1,0,1,,,,-1.2300000000000002
271579,-0.46,-0.68,-0.07,0,-0.01,LACNIC,1,0,BR,1,,,,,,0,,,,-1.2200000000000002
271723,-0.46,-0.68,-0.07,0,-0.01,LACNIC,1,0,BR,0,,,,,,0,,,,-1.2200000000000002
271768,-0.46,-0.68,-0.07,0,-0.01,LACNIC,1,0,BR,0,,,,,,0,,,,-1.2200000000000002
272501,-0.46,-0.68,-0.07,0,-0.01,LACNIC,1,0,BR,2,,,,,,0,,,,-1.2200000000000002
272597,-0.46,-0.68,-0.07,0,-0.01,LACNIC,1,0,BR,0,,,,,,0,,,,-1.2200000000000002
272618,-0.46,-0.68,-0.07,0,-0.01,LACNIC,1,0,BR,0,,,,,,0,,,,-1.2200000000000002
52992,-0.46,-0.61,-0.12,0,-0.01,LACNIC,1,0,BR,2,,,,,,0,,,,-1.2
271619,-0.46,-0.63,-0.07,0,-0.01,LACNIC,1,0,BR,0,,,,,,0,,,,-1.1700000000000002
270531,-0.46,-0.63,-0.07,0,-0.01,LACNIC,1,0,BR,1,,,,,,0,,,,-1.1700000000000002
272462,-0.46,-0.68,-0.01,0,-0.01,LACNIC,1,0,BR,4,,,,,,0,,,,-1.1600000000000001
28247,-0.46,-0.63,-0.07,-0.19,0,LACNIC,1,0,BR,0,Regional,NSP,Open,0,0,1,,,,-1.1600000000000001
267054,-0.46,-0.09,-0.12,-0.19,-0.42,LACNIC,1,3,BR,2,South America,Not Disclosed,Open,0,0,1,,,,-1.09
271417,-0.46,-0.09,-0.12,-0.19,-0.42,LACNIC,1,1,BR,2,South America,Not Disclosed,Open,0,0,1,,,,-1.09
267322,-0.46,-0.18,-0.12,-0.19,-0.32,LACNIC,1,3,BR,2,South America,Cable/DSL/ISP,Open,0,0,1,,,,-1.08
269346,-0.46,-0.18,-0.12,-0.19,-0.31,LACNIC,1,3,BR,2,Not Disclosed,Government,Open,1,0,1,,,,-1.07
27785,-0.25,-0.68,-0.12,0,-0.01,LACNIC,1,0,SV,2,,,,,,0,,,,-1.06
270622,-0.46,-0.18,-0.04,-0.19,-0.37,LACNIC,1,1,BR,7,South America,Not Disclosed,Open,1,1,1,,,,-1.05
263122,-0.46,-0.18,-0.12,-0.19,-0.28,LACNIC,1,1,BR,2,Not Disclosed,Not Disclosed,Open,0,0,1,,,,-1.04
263889,-0.46,-0.18,-0.12,-0.12,-0.28,LACNIC,1,1,BR,2,Not Disclosed,Not Disclosed,,0,0,1,,,,-1.04
265236,-0.46,-0.18,-0.12,-0.19,-0.28,LACNIC,1,1,BR,2,Not Disclosed,Not Disclosed,Open,0,0,1,,,,-1.04
267255,-0.46,-0.18,-0.12,-0.19,-0.28,LACNIC,1,3,BR,2,Not Disclosed,Not Disclosed,Open,0,0,1,,,,-1.04
267266,-0.46,-0.18,-0.12,-0.19,-0.28,LACNIC,1,3,BR,2,Not Disclosed,Not Disclosed,Open,0,0,1,,,,-1.04
