i,src,dest,cc_dest,hops,ip_list,rtts
14,200.61.6.78,168.77.178.1,PA,255,"['10.55.55.25', '200.59.197.78', '186.0.255.163', '186.0.255.165', '190.216.83.14', '190.216.83.13', None, '4.68.37.33', None, '213.248.84.80', '62.115.176.129', '69.79.100.31', '63.245.90.195', '201.224.61.54', None, None, '201.224.73.222', None, None, None, None, None, None]","[10.568, 10.645, 11.509, 12.108, 11.245, 11.656, None, 12.557, None, 144.699, 145.975, 144.884, 196.252, 199.924, None, None, 196.736, None, None, None, None, None, None]"
30,190.124.192.162,168.77.218.1,PA,255,"['190.124.192.129', '190.124.210.20', '190.124.210.6', None, '190.216.83.14', '190.216.83.13', None, '4.68.37.33', None, '213.248.84.80', '62.115.176.129', '69.79.100.31', '63.245.90.195', '201.224.61.54', None, None, '201.224.73.222', None, None, None, None, None, None]","[0.564, 0.78, 0.885, None, 10.433, 9.754, None, 8.372, None, 138.739, 139.353, 139.233, 189.645, 189.865, None, None, 190.337, None, None, None, None, None, None]"
35,200.61.6.78,187.211.224.1,MX,255,"['10.55.55.25', '200.59.197.78', '186.0.255.160', '190.216.83.14', '190.216.83.13', None, '4.68.37.33', None, None, None, None, None, '187.211.224.1']","[10.448, 10.747, 11.529, 11.471, 13.612, None, 33.843, None, None, None, None, None, 242.654]"
39,143.202.20.39,170.238.164.1,BR,255,"['143.202.20.33', '143.202.23.245', '10.32.0.193', '64.191.233.47', '64.191.233.180', None, None, None, None, None, None]","[0.398, 1.509, 3.232, 35.139, 34.564, None, None, None, None, None, None]"
58,190.124.192.162,186.155.160.1,CO,14,"['190.124.192.129', '190.124.210.20', '190.124.210.6', None, '190.216.83.14', '190.216.83.13', None, '4.68.37.33', '4.68.74.202', '213.144.185.131', '213.144.185.19', None, None, '186.155.160.1']","[0.694, 0.873, 0.885, None, 8.143, 8.563, None, 8.589, 140.013, 156.387, 161.208, None, None, 217.36]"
65,190.124.192.162,187.99.156.1,BR,255,"['190.124.192.129', '190.124.210.20', '190.124.210.6', None, '190.216.83.14', '190.216.83.13', None, '4.68.37.33', '4.68.74.202', '195.22.202.172', '195.22.202.175', None, None, None, None, None, None]","[1.235, 0.891, 0.841, None, 8.252, 8.239, None, 11.437, 139.974, 146.802, 147.769, None, None, None, None, None, None]"
86,190.124.192.162,186.208.69.1,BR,255,"['190.124.192.129', '190.124.210.20', '190.124.210.6', None, '187.16.221.132', '187.16.213.53', None, None, '186.208.77.214', None, None, None, None, None, None]","[2.183, 0.853, 1.06, None, 34.937, 76.629, None, None, 200.26, None, None, None, None, None, None]"
87,168.96.7.183,190.109.26.1,CO,14,"['168.96.7.1', '168.96.0.15', '200.0.204.140', '200.0.204.58', '200.0.204.125', '38.104.95.185', '154.54.45.158', '154.54.89.254', '38.88.57.26', '69.79.100.5', '69.79.100.53', '190.242.173.41', '190.131.207.200', '190.131.207.81']","[0.641, 0.482, 20.858, 135.008, 134.545, 134.487, 134.915, 134.673, 135.403, 151.157, 159.42, 159.997, 179.887, 181.41]"
88,143.202.20.39,200.26.237.1,AR,255,"['143.202.20.33', '143.202.23.245', '138.204.245.201', '200.0.17.242', '8.243.140.78', None, None, None, None, None, None]","[0.308, 0.996, 130.564, 14.743, 28.353, None, None, None, None, None, None]"
95,143.202.20.39,186.120.140.1,DO,18,"['143.202.20.33', '143.202.23.245', '10.32.0.193', '190.216.83.14', '190.216.83.13', None, '4.68.37.33', None, '213.248.84.80', '62.115.120.176', '62.115.136.200', '62.115.135.133', '213.248.75.235', None, None, None, None, None]","[0.426, 1.617, 3.23, 9.097, 20.724, None, 21.538, None, 140.495, 154.761, 153.835, 154.68, 209.708, None, None, None, None, None]"
97,138.204.7.245,139.177.144.1,DO,12,"['138.204.7.241', '168.227.255.237', '181.209.64.49', None, '8.243.136.113', None, '213.248.84.80', '62.115.176.129', None, None, None, '139.177.144.1']","[0.296, 0.509, 0.992, None, 12.377, None, 137.258, 138.384, None, None, None, 158.999]"
114,190.124.192.162,201.157.106.1,MX,20,"['190.124.192.129', '190.124.210.20', '190.124.210.6', None, '190.216.83.14', '190.216.83.13', None, '4.68.37.33', None, None, '63.243.152.34', '63.243.152.62', '66.110.57.145', '201.174.251.69', '201.174.254.210', '201.174.254.205', '187.251.0.54', '201.157.68.70', '201.157.68.19', '201.157.106.1']","[0.642, 0.742, 0.848, None, 7.977, 8.192, None, 9.239, None, None, 172.217, 172.172, 172.409, 200.178, 210.427, 211.419, 213.081, 213.733, 213.418, 213.345]"
127,200.124.178.201,104.29.26.1,BR,16,"['200.124.178.1', '200.124.183.9', '181.209.74.85', None, '8.243.136.113', '4.69.219.142', '4.68.72.66', None, '204.148.85.246', '200.230.252.201', '200.230.252.202', '200.230.220.149', '200.230.0.6', '200.230.159.77', '201.56.189.50', '104.29.26.1']","[0.47, 1.18, 55.653, None, 14.722, 138.756, 138.674, None, 156.912, 154.141, 152.559, 150.744, 156.119, 149.714, 161.441, 160.027]"
128,190.124.192.162,45.178.254.1,AR,32,"['190.124.192.129', '190.124.210.20', '190.124.210.6', None, '190.208.2.110', '190.208.2.109', None, '10.84.255.118', '10.84.255.158', '172.31.11.2', '143.255.153.248', '10.50.222.6', '10.50.235.2', '143.255.153.248', '10.50.222.6', '10.50.235.2', '143.255.153.248', '10.50.222.6', '10.50.235.2', '143.255.153.248', '10.50.222.6', '10.50.235.2', '143.255.153.248', '10.50.222.6', '10.50.235.2', '143.255.153.248', '10.50.222.6', '10.50.235.2', '143.255.153.248', '10.50.222.6', '10.50.235.2', '143.255.153.248']","[0.576, 0.814, 0.905, None, 37.128, 38.111, None, 41.353, 42.911, 41.928, 43.246, 43.557, 43.166, 43.073, 43.094, 43.144, 43.056, 43.567, 43.133, 43.146, 43.381, 43.536, 43.353, 43.475, 43.244, 43.183, 43.654, 43.452, 43.491, 43.492, 43.607, 43.304]"
135,190.124.192.162,187.188.5.1,MX,11,"['190.124.192.129', '190.124.210.20', '190.124.210.6', None, '190.216.83.14', '190.216.83.13', '64.215.103.218', '64.214.124.66', None, None, '187.188.5.1']","[1.11, 0.743, 0.786, None, 7.971, 8.077, 152.198, 177.121, None, None, 179.477]"
148,200.124.178.201,170.246.132.1,BR,255,"['200.124.178.1', '200.124.183.9', '181.209.74.85', '8.243.136.114', '8.243.136.113', '4.69.137.58', '8.242.43.34', None, None, None, None, None, None]","[0.475, 0.853, 17.565, 13.12, 26.266, 40.78, 41.1, None, None, None, None, None, None]"
