i,src,dest,cc_dest,hops,ip_list,rtts
10,10.10.247.244,177.137.125.1,BR,255,"['10.10.247.193', None, None, None, None, None, None]","[3.348, None, None, None, None, None, None]"
14,10.10.247.244,186.38.99.1,AR,255,"['10.10.247.193', None, None, None, None, None, None]","[3.878, None, None, None, None, None, None]"
16,10.11.0.62,181.60.152.1,CO,11,"['10.11.0.1', '181.210.120.193', '190.130.51.61', '190.130.51.206', '62.115.180.84', '62.115.142.42', '62.115.34.139', '141.136.111.22', '209.120.165.2', None, '181.60.152.1']","[0.581, 2.044, 5.145, 5.42, 25.23, 25.925, 30.599, 41.718, 86.113, None, 82.181]"
19,192.168.88.31,179.222.128.1,BR,255,"['192.168.88.1', '179.63.252.217', '10.0.116.201', '138.59.177.141', '190.92.71.93', '69.79.102.54', None, '198.32.243.126', '200.230.252.202', '200.230.252.201', '200.230.220.77', '200.244.24.8', '200.244.24.9', '200.244.212.247', '200.244.75.1', '200.244.74.154', '189.22.214.2', '186.207.190.25', '186.207.190.38', None, None, None, None, None, None]","[0.764, 0.751, 4.066, 27.365, 21.567, 35.944, None, 164.564, 132.891, 167.342, 177.767, 192.93, 180.779, 175.179, 162.907, 159.585, 167.354, 163.958, 165.816, None, None, None, None, None, None]"
20,10.11.0.62,187.87.179.1,BR,255,"['10.11.0.1', '181.210.120.193', '190.130.51.41', '190.130.51.206', None, '62.115.142.42', '213.248.77.97', '200.25.51.16', '200.25.58.195', '200.25.51.91', '200.25.56.53', None, None, None, None, None, None]","[0.564, 2.049, 5.333, 4.515, None, 26.22, 25.941, 46.79, 130.63, 130.372, 131.693, None, None, None, None, None, None]"
25,172.28.23.15,200.9.106.1,BR,255,"['172.28.23.1', '192.168.0.1', None, '10.192.224.145', None, None, None, '10.189.88.138', '66.110.72.192', '154.54.9.45', '154.54.45.158', '154.54.89.254', '154.54.6.106', '154.54.87.18', '199.100.0.106', None, None, '201.16.1.209', '201.16.65.95', '172.31.254.14', '10.255.255.2', '172.31.0.2', None, None, None, None, None, None]","[0.6, 0.793, None, 9.992, None, None, None, 19.001, 41.494, 43.187, 43.404, 41.152, 155.201, 151.716, 152.489, None, None, 187.291, 187.989, 185.482, 186.488, 188.246, None, None, None, None, None, None]"
27,192.168.88.31,201.147.208.1,MX,16,"['192.168.88.1', '179.63.252.217', '10.0.116.201', '138.59.177.141', '190.92.71.93', '69.79.102.54', '62.115.149.30', '62.115.118.163', '213.248.81.63', '129.250.2.5', '129.250.2.219', '129.250.7.69', '129.250.3.94', '204.1.253.70', '189.246.61.121', '201.147.208.1']","[0.776, 0.8, 16.693, 12.358, 12.694, 33.281, 33.356, 33.435, 27.985, 42.04, 69.74, 91.96, 91.242, 99.365, 126.77, 123.884]"
30,10.10.247.244,190.142.183.1,VE,255,"['10.10.247.193', None, None, None, None, None, None]","[3.223, None, None, None, None, None, None]"
37,172.28.23.15,179.34.56.1,BR,255,"['172.28.23.1', '192.168.0.1', None, '10.192.224.145', None, None, None, None, '66.110.72.192', None, '89.221.41.74', '195.22.219.1', '185.100.112.7', None, None, None, None, None, None]","[0.592, 0.699, None, 8.949, None, None, None, None, 43.393, None, 43.146, 149.675, 151.968, None, None, None, None, None, None]"
60,10.11.0.62,187.120.180.1,BR,255,"['10.11.0.1', '181.210.120.193', '190.130.51.41', '190.130.51.206', '62.115.180.84', None, None, '213.248.76.125', '207.135.212.16', '207.135.214.11', None, None, '131.255.56.107', '143.0.187.227', None, None, None, None, None, None]","[0.601, 2.259, 5.403, 5.729, 28.529, None, None, 32.562, 143.084, 143.433, None, None, 149.931, 149.525, None, None, None, None, None, None]"
