i,src,dest,cc_dest,hops,ip_list,rtts
0,192.168.1.62,170.81.176.1,BR,255,"['192.168.1.1', None, '10.248.16.117', '10.115.7.124', '10.111.5.9', '216.184.112.234', '213.140.36.81', '5.53.3.222', '5.53.1.37', '102.219.127.255', '170.238.235.35', None, None, None, None, None, '170.81.176.1']","[0.462, None, 8.885, 15.013, 8.248, 11.34, 94.324, 94.73, 94.347, 138.868, 139.982, None, None, None, None, None, 152.031]"
2,192.168.100.66,141.98.81.1,PA,14,"['192.168.100.1', '10.28.0.233', '190.12.64.130', '190.12.78.217', None, '94.142.103.222', '84.16.12.80', '5.53.6.73', '94.142.98.196', '94.142.127.42', '213.140.35.248', '213.140.51.22', '87.245.232.123', '141.98.81.1']","[0.816, 1.954, 1.478, 3.561, None, 1.837, 2.206, 63.322, 94.265, 181.065, 185.395, 190.392, 191.287, 187.486]"
10,45.183.45.23,201.217.225.1,AR,10,"['45.183.45.1', '10.7.11.129', '200.25.44.65', '8.243.125.101', '4.69.207.41', None, '38.88.164.113', '190.94.176.101', '190.94.176.102', '201.217.225.1']","[1.014, 1.305, 1.443, 9.281, 90.645, None, 230.019, 144.983, 145.136, 146.12]"
20,192.168.100.66,99.82.164.1,BR,255,"['192.168.100.1', '10.28.0.233', '190.12.64.130', '190.12.78.217', None, '84.16.8.146', '84.16.13.162', '94.142.99.220', '216.184.112.43', '150.222.6.137', None, None, None, None, None, None]","[1.55, 2.573, 1.451, 2.706, None, 1.815, 2.809, 32.859, 31.874, 102.46, None, None, None, None, None, None]"
40,45.183.45.23,200.68.124.1,AR,255,"['45.183.45.1', '10.7.11.129', '200.25.44.65', '8.243.125.101', '4.69.143.149', '4.68.70.154', '195.22.220.123', '185.70.203.15', '190.210.118.157', '190.210.118.109', None, None, None, None, None, None]","[1.503, 1.736, 2.088, 5.408, 7.428, 1.684, 52.3, 52.52, 56.645, 52.658, None, None, None, None, None, None]"
59,192.168.100.66,190.102.248.1,CL,255,"['192.168.100.1', '10.28.0.233', '190.12.64.130', '190.12.78.217', None, '94.142.103.222', '84.16.12.80', '94.142.97.62', '176.52.255.28', '195.22.220.18', '195.22.221.193', '195.22.221.73', None, None, None, None, None, '190.102.248.1']","[0.8, 1.931, 1.542, 4.597, None, 1.662, 2.239, 32.7, 63.625, 59.831, 95.87, 173.252, None, None, None, None, None, 131.669]"
84,192.168.1.62,138.219.244.1,BR,255,"['192.168.1.1', None, '10.248.16.117', '10.115.7.124', '10.111.5.9', '84.16.11.190', '5.53.5.92', '5.53.5.92', None, None, None, None, None, None]","[0.455, None, 8.736, 8.191, 8.467, 10.095, 120.843, 122.111, None, None, None, None, None, None]"
85,45.183.45.23,200.94.8.1,MX,12,"['45.183.45.1', '10.7.11.129', '200.25.44.65', '8.243.125.101', None, None, '64.208.222.14', '148.243.141.178', '189.206.11.142', '201.151.24.74', '189.206.31.130', '207.248.240.110']","[1.288, 1.518, 1.846, 10.541, None, None, 124.147, 143.003, 181.513, 179.818, 181.798, 142.664]"
103,45.183.45.23,177.246.14.1,MX,14,"['45.183.45.1', '10.7.11.129', '200.25.44.65', '8.243.125.101', None, '4.68.110.158', None, '63.243.152.62', '66.110.57.145', '66.110.57.21', None, None, '10.3.9.183', '177.246.14.1']","[1.298, 2.039, 1.645, 2.455, None, 91.072, None, 141.468, 138.16, 139.426, None, None, 217.758, 217.846]"
104,192.168.100.66,196.3.135.1,TT,32,"['192.168.100.1', '10.28.0.233', '190.12.64.130', '190.12.78.217', None, '94.142.103.222', '84.16.13.162', '5.53.6.59', '84.16.15.176', '65.195.233.153', '140.222.236.65', '157.130.84.162', '190.58.254.58', '190.58.254.49', '190.58.254.50', '190.58.254.49', '190.58.254.50', '190.58.254.49', '190.58.254.50', '190.58.254.49', '190.58.254.50', '190.58.254.49', '190.58.254.50', '190.58.254.49', '190.58.254.50', '190.58.254.49', '190.58.254.50', '190.58.254.49', '190.58.254.50', '190.58.254.49', '190.58.254.50', '190.58.254.49']","[0.78, 14.327, 1.678, 2.18, None, 1.635, 2.59, 63.63, 63.815, 71.429, 64.839, 122.288, 146.799, 147.396, 146.62, 147.671, 146.622, 147.525, 146.871, 147.58, 146.957, 147.636, 146.912, 153.629, 147.12, 147.82, 146.952, 147.673, 147.159, 147.898, 146.993, 148.092]"
