i,src,dest,cc_dest,hops,ip_list,rtts
0,45.239.44.43,148.103.62.1,DO,255,"['45.239.44.41', '45.239.44.1', '10.2.2.1', '170.83.243.25', '45.170.131.153', '8.243.35.249', None, '64.125.15.56', '64.125.23.36', None, None, '64.125.25.57', '208.185.139.134', None, None, None, None, None, '148.103.62.1']","[0.595, 1.061, 0.82, 3.531, 7.832, 22.874, None, 128.716, 149.894, None, None, 150.196, 199.992, None, None, None, None, None, 203.22]"
13,192.168.10.216,181.117.29.1,AR,255,"['192.168.10.129', '201.217.41.49', '172.31.0.13', '172.31.1.1', '201.217.62.8', '172.31.0.94', '172.31.254.50', '172.31.254.45', '172.31.254.33', '172.31.254.2', '172.31.254.26', '84.16.6.156', '94.142.122.12', '195.22.220.18', '195.22.220.47', '170.51.254.177', '10.2.201.58', None, None, None, None, None, None]","[0.622, 0.922, 1.355, 1.039, 1.001, 1.418, 3.274, 1.418, 2.543, 1.546, 19.944, 20.903, 21.481, 19.69, 25.986, 19.953, 32.965, None, None, None, None, None, None]"
41,192.168.10.216,189.179.248.1,MX,18,"['192.168.10.129', '201.217.41.49', '172.31.0.13', '172.31.1.1', '201.217.62.8', '172.31.0.94', '172.31.254.46', '172.31.254.49', '172.31.254.37', '172.31.254.30', '84.16.6.156', '94.142.117.141', None, None, '4.69.219.45', '4.31.51.62', None, '189.179.248.1']","[0.618, 0.979, 1.235, 1.107, 0.891, 1.539, 1.537, 1.407, 1.735, 22.114, 22.421, 47.258, None, None, 226.846, 213.589, None, 263.875]"
45,192.168.10.216,163.178.64.1,CR,255,"['192.168.10.129', '201.217.41.49', '172.31.0.13', '172.31.1.1', '201.217.62.24', '172.31.240.33', '172.31.240.29', '172.31.254.46', '172.31.254.49', '172.31.254.37', '172.31.254.26', '84.16.6.156', '94.142.116.118', '94.142.97.65', '213.140.43.234', '94.142.107.179', '89.221.41.177', '195.22.199.105', None, None, None, None, None, None]","[0.622, 0.886, 1.414, 1.02, 1.147, 1.671, 1.861, 1.696, 1.329, 1.506, 20.011, 21.417, 45.062, 146.465, 150.599, 170.434, 134.244, 195.384, None, None, None, None, None, None]"
66,200.10.228.144,190.61.50.1,GT,255,"['200.10.228.140', '201.217.5.221', '172.31.192.25', '201.217.63.16', None, '201.217.0.122', '201.217.0.113', '201.217.0.26', '172.31.254.2', '172.31.254.26', '84.16.6.156', '94.142.116.118', '94.142.99.221', '94.142.98.63', '84.16.9.179', None, None, None, None, None, None]","[0.479, 0.764, 1.498, 0.974, None, 1.022, 0.945, 1.392, 3.457, 19.801, 21.245, 59.311, 78.559, 126.184, 128.876, None, None, None, None, None, None]"
77,192.168.10.216,190.113.105.1,CR,255,"['192.168.10.129', '201.217.41.49', '172.31.0.13', '172.31.1.1', '201.217.62.8', '172.31.0.94', '172.31.254.46', '172.31.254.45', '172.31.254.37', '172.31.254.30', '84.16.6.156', '94.142.122.12', '94.142.107.121', None, '67.16.130.206', None, None, None, None, None, None]","[0.629, 0.909, 2.54, 1.086, 0.876, 1.668, 1.546, 1.478, 2.812, 22.191, 21.936, 39.145, 22.324, None, 115.617, None, None, None, None, None, None]"
79,192.168.100.27,189.164.96.1,MX,10,"['192.168.100.1', '190.113.92.33', '190.113.92.9', '172.16.70.1', '198.18.18.1', '8.243.35.249', None, '4.7.200.38', None, '189.164.96.1']","[1.831, 0.8, 1.678, 2.311, 6.391, 19.187, None, 152.815, None, 215.531]"
87,192.168.100.27,200.46.196.1,PA,12,"['192.168.100.1', '190.113.92.33', '190.113.92.9', '172.16.70.1', '198.18.18.1', '8.243.35.249', None, '4.59.242.26', '181.189.158.57', None, None, '200.46.196.1']","[0.653, 0.955, 8.327, 6.748, 5.548, 23.907, None, 125.898, 172.336, None, None, 177.798]"
97,192.168.10.216,148.209.222.1,MX,255,"['192.168.10.129', '201.217.41.49', '172.31.0.13', '172.31.1.1', '201.217.62.8', '172.31.0.94', '172.31.254.50', '172.31.254.45', '172.31.254.33', '172.31.254.2', '172.31.254.26', '84.16.6.2', '94.142.117.141', '94.142.98.123', '94.142.119.188', '129.250.9.85', '129.250.2.5', '129.250.2.219', '129.250.7.117', '129.250.200.110', '201.125.44.21', '187.157.248.45', '187.216.253.82', None, None, None, None, None, None]","[0.622, 0.932, 1.406, 1.089, 0.895, 1.393, 1.517, 1.514, 1.528, 1.485, 20.012, 19.857, 46.265, 148.626, 147.974, 147.177, 142.465, 176.778, 165.255, 183.205, 216.247, 215.736, 218.284, None, None, None, None, None, None]"
102,200.10.228.144,181.189.50.1,BR,255,"['200.10.228.140', '201.217.5.221', '172.31.192.25', '201.217.63.16', None, '201.217.0.114', '201.217.0.113', '201.217.0.26', '172.31.254.2', '187.16.220.202', '10.22.8.1', '10.22.8.162', '186.193.250.254', None, None, None, None, None, None]","[0.495, 0.728, 1.415, 1.053, None, 1.774, 1.01, 1.292, 1.478, 23.557, 31.144, 31.237, 40.751, None, None, None, None, None, None]"
