i,src,dest,cc_dest,hops,ip_list,rtts
1,190.64.201.3,179.108.152.1,BR,255,"['190.64.201.1', '190.64.221.142', None, '200.40.177.48', '179.31.59.255', '179.31.59.254', '179.31.62.75', '179.31.62.133', '179.31.62.39', '179.31.62.19', '187.16.221.67', '187.16.208.27', None, None, None, None, None, None]","[1.925, 1.603, None, 2.076, 7.351, 3.105, 27.388, 27.005, 27.934, 28.673, 90.214, 47.998, None, None, None, None, None, None]"
9,200.7.84.24,186.179.149.1,SR,255,"['200.7.84.34', '200.40.98.28', '179.31.62.131', '179.31.62.41', '179.31.62.58', '179.31.62.6', '129.250.194.137', '129.250.3.149', '129.250.3.41', None, None, None, None, None, None]","[1.105, 4.989, 126.292, 126.2, 126.521, 126.421, 127.131, 127.794, 126.201, None, None, None, None, None, None]"
13,164.73.9.2,200.7.167.1,BO,10,"['164.73.9.1', '200.40.98.20', '179.31.62.229', '81.173.106.84', '81.173.106.84', '84.16.12.4', '176.52.255.29', '94.142.97.61', None, '200.58.73.33']","[0.65, 4.768, 9.22, 13.299, 10.293, 15.761, 45.368, 63.64, None, 76.187]"
21,190.64.201.3,200.46.115.1,PA,14,"['190.64.201.1', '190.64.221.142', None, '200.40.177.48', '179.31.59.253', '179.31.59.252', '179.31.62.75', '179.31.62.133', '179.31.62.4', '198.32.125.161', '181.189.158.59', None, None, '200.46.115.1']","[2.35, 1.613, None, 2.081, 6.549, 3.164, 127.351, 127.806, 127.49, 127.354, 181.671, None, None, 181.6]"
26,190.64.201.3,187.115.132.1,BR,255,"['190.64.201.1', '190.64.221.142', None, '200.40.177.48', '179.31.59.253', '179.31.59.252', None, '179.31.62.133', '179.31.62.39', '179.31.62.19', '186.239.162.142', '186.239.162.141', '152.255.201.96', '152.255.193.213', '187.100.191.121', '177.99.251.138', None, None, None, None, None, None]","[2.448, 1.194, None, 1.624, 2.584, 2.599, None, 26.524, 28.168, 30.392, 26.281, 27.401, 27.441, 27.468, 32.855, 32.99, None, None, None, None, None, None]"
27,192.168.1.38,138.94.145.1,GT,15,"['192.168.1.1', '200.40.78.205', '200.40.78.4', '179.31.59.254', None, '179.31.62.127', '195.22.220.7', '195.22.220.6', '195.22.220.19', '94.142.99.64', '94.142.97.95', '94.142.98.63', '213.140.51.195', None, '138.94.145.1']","[1.049, 5.902, 8.972, 3.399, None, 14.352, 11.493, 17.726, 16.219, 38.688, 69.956, 117.964, 122.568, None, 123.106]"
33,164.73.9.2,201.228.74.1,CO,255,"['164.73.9.1', '200.40.98.20', '179.31.62.229', '81.173.106.84', '81.173.106.84', '94.142.97.19', '5.53.4.91', '94.142.119.24', '94.142.124.208', '94.142.117.108', '94.142.118.230', None, None, None, None, None, None]","[0.878, 3.617, 8.277, 14.342, 9.375, 32.992, 82.979, 148.335, 129.919, 148.5, 150.371, None, None, None, None, None, None]"
37,192.168.1.38,131.0.218.1,BR,255,"['192.168.1.1', '200.40.78.205', '200.40.78.6', '179.31.59.252', '179.31.62.75', '179.31.62.133', '179.31.62.4', '129.250.194.137', '129.250.3.149', '129.250.2.108', None, '4.69.151.109', '4.31.208.182', '138.118.137.170', None, None, None, None, None, None]","[0.694, 5.32, 11.377, 5.392, 130.271, 130.074, 129.512, 127.983, 136.937, 129.458, None, 158.489, 163.927, 163.277, None, None, None, None, None, None]"
52,190.64.201.3,177.190.121.1,BR,11,"['190.64.201.1', '190.64.221.142', '200.40.177.49', '200.40.177.48', '179.31.59.255', '179.31.59.254', '179.31.62.42', '179.31.62.60', '179.31.62.131', '177.52.38.105', '177.190.121.1']","[2.333, 1.613, 1.819, 2.097, 3.514, 2.783, 4.546, 5.51, 4.892, 26.115, 34.749]"
55,200.7.84.24,179.51.172.1,BR,8,"['200.7.84.34', '200.40.98.28', '179.31.62.131', None, None, None, None, '179.51.172.1']","[0.959, 5.188, 9.917, None, None, None, None, 33.9]"
60,200.7.84.24,181.225.200.1,AR,9,"['200.7.84.34', '200.40.98.28', '179.31.62.103', '179.31.62.117', '200.0.17.43', '200.0.17.173', None, None, '181.225.200.1']","[1.136, 4.504, 11.501, 11.53, 13.719, 39.855, None, None, 38.774]"
