i,src,dest,cc_dest,hops,ip_list,rtts
2,172.17.100.39,200.119.208.1,BO,32,"['172.17.100.1', '150.186.100.110', '201.248.66.125', '10.113.6.34', None, None, '10.113.5.178', '195.22.199.108', '89.221.41.1', '94.142.107.178', '213.140.43.235', '5.53.1.153', '201.222.66.6', '200.58.160.45', '200.58.160.52', '200.58.160.45', '200.58.160.52', '200.58.160.45', '200.58.160.52', '200.58.160.45', '200.58.160.52', '200.58.160.45', '200.58.160.52', '200.58.160.45', '200.58.160.52', '200.58.160.45', '200.58.160.52', '200.58.160.45', '200.58.160.52', '200.58.160.45', '200.58.160.52', '200.58.160.45']","[0.409, 0.53, 12.349, 8.993, None, None, 28.046, 57.7, 57.254, 57.788, 222.808, 165.024, 275.076, 149.773, 164.412, 150.422, 164.541, 150.062, 164.546, 150.359, 165.481, 150.628, 165.078, 159.593, 164.923, 150.571, 166.041, 154.087, 165.146, 150.54, 165.979, 190.908]"
10,181.225.41.78,179.63.29.1,BR,255,"['181.225.41.65', '4.15.156.45', '4.69.214.246', '8.243.152.90', None, None, None, None, None, None]","[0.619, 38.572, 164.643, 160.036, None, None, None, None, None, None]"
16,172.17.100.39,181.47.242.1,AR,255,"['172.17.100.1', '150.186.100.110', '201.248.66.125', '10.113.6.42', None, '10.82.1.105', '10.82.1.5', '200.16.71.177', '62.115.50.168', None, '4.69.220.6', '200.32.127.102', '181.47.242.13', None, None, None, None, None, None]","[0.389, 0.535, 8.877, 8.839, None, 9.092, 10.243, 102.976, 44.117, None, 168.274, 168.484, 168.874, None, None, None, None, None, None]"
20,170.254.172.12,201.201.236.1,CR,15,"['170.254.172.1', None, None, None, '172.26.0.65', None, None, None, None, '213.248.84.80', None, None, None, None, '201.201.236.1']","[0.583, None, None, None, 11.604, None, None, None, None, 66.19, None, None, None, None, 113.284]"
34,170.254.172.12,177.232.2.1,MX,20,"['170.254.172.1', None, None, None, '172.26.0.65', None, '67.16.191.178', '4.68.59.109', '4.69.214.234', '94.142.107.38', '94.142.97.65', '213.140.43.234', '84.16.15.168', '84.16.7.85', '189.204.203.245', '201.140.118.230', None, None, None, '177.232.2.1']","[0.584, None, None, None, 10.692, None, 35.237, 39.54, 96.274, 95.141, 130.786, 119.831, 154.171, 158.325, 171.305, 171.754, None, None, None, 174.757]"
45,181.225.41.78,200.12.65.1,MX,255,"['181.225.41.65', '4.15.156.45', None, None, None, '64.212.70.62', '201.163.102.206', '201.163.102.141', '200.76.9.36', '201.158.38.86', '201.158.38.78', None, None, None, None, None, None]","[0.61, 38.61, None, None, None, 79.459, 82.327, 80.624, 75.92, 75.962, 75.335, None, None, None, None, None, None]"
53,172.16.0.45,131.0.48.1,BR,255,"['172.16.0.254', '190.111.123.1', '10.200.200.6', '172.20.2.1', '200.75.135.137', '138.0.42.170', '200.16.69.4', '200.16.69.45', '200.16.69.123', '200.16.69.121', '138.0.40.229', '177.91.163.177', '45.226.74.1', '45.226.74.3', None, None, None, None, None, None]","[0.393, 3.432, 0.82, 3.33, 42.688, 42.475, 85.313, 120.334, 125.477, 125.369, 115.634, 108.911, 108.464, 117.939, None, None, None, None, None, None]"
71,10.254.100.70,38.10.179.1,DO,255,"['10.254.100.1', '190.97.252.1', '10.10.10.21', '206.126.237.231', '206.126.236.37', '184.105.80.162', None, None, '216.66.15.254', '69.79.100.0', '69.79.100.33', '190.242.172.35', '45.164.172.89', None, None, None, None, None, '38.10.179.1']","[0.445, 3.762, 4.238, 46.992, 74.542, 88.001, None, None, 83.003, 77.112, 113.389, 113.424, 129.042, None, None, None, None, None, 109.813]"
90,170.254.172.12,45.163.10.1,BR,17,"['170.254.172.1', None, None, None, '172.26.0.65', None, None, None, '4.69.219.142', '209.0.200.170', '200.230.252.202', None, None, '200.244.66.93', '200.244.66.226', '200.183.143.206', '45.163.10.1']","[0.677, None, None, None, 11.433, None, None, None, 54.457, 157.874, 207.78, None, None, 162.896, 202.885, 203.853, 203.282]"
94,181.225.41.78,200.75.42.1,CO,255,"['181.225.41.65', None, None, '154.54.82.226', '154.54.83.185', None, None, None, None, None, None]","[0.608, None, None, 90.443, 90.129, None, None, None, None, None, None]"
